AverageOfP2O5,AverageOfCaO,AverageOfTotalSolids_TS,AverageOf +0.150mm ,AverageOf +1mm%,Average of Al2O3,Average of MgO,Average of Fe2O3,Average of SiO2,R.Average of P2O52,R.Average of Solids,R.Average of SO4,production ,input,recovery
27.17923077,49.43076923,62.15384615,55.54,2.385555556,0.360769231,0.297692308,0.095384615,7.509230769,26.33,32.48833333,3.34,4694.544903,5079.108051,0.924285299
26.69368421,49.19421053,61.66,53.995,2.496666667,0.464736842,0.447368421,0.107368421,7.999473684,26.45833333,25.46833333,2.893333333,4578.246176,4960.634627,0.922915417
26.30105263,48.64,61.51052632,52.6775,2.99,0.567368421,0.444736842,0.114210526,8.658947368,26.075,31.265,2.93,4246.971054,4622.417505,0.918777036
26.608,48.18533333,55.36533333,54.81909091,1.823636364,0.549333333,0.433333333,0.122,9.452666667,24.48833333,24.69333333,2.993333333,2510.863864,5181.31664,0.484599579
27.84555556,48.42777778,55.17277778,52.33454545,1.213636364,0.416111111,0.29,0.100555556,9.665,25.56166667,28.86166667,2.546666667,2867.836765,3296.185322,0.870047186
27.86,48.814,48.962,51.08666667,2.033333333,0.496666667,0.360666667,0.13,8.433333333,24.98166667,25.50833333,2.851666667,2221.182401,2494.872481,0.89029897
28.697,48.44,49.981,51.485,0.225,0.331,0.157,0.087,9.526,25.31166667,27.62833333,2.843333333,1434.391385,1611.46486,0.890116453
29.0875,48.28666667,46.6725,42.51625,0.85,0.315833333,0.1575,0.088333333,10.0075,24.42666667,27.01666667,3.106666667,1016.331666,1133.511644,0.896622166
28.449,49.498,53.23,54.25,0.228333333,0.225,0.154,0.057,7.865,22.63333333,22.18166667,3.09,2125.50142,2378.279547,0.893713871
29.18625,49.67125,50.015,49.77916667,0.455833333,0.231875,0.15875,0.065625,7.478125,22.45166667,21.74833333,3.42,1995.0368,2216.303988,0.900163881
28.72555556,49.74555556,44.57777778,46.80166667,0.016666667,0.233333333,0.161111111,0.061111111,7.391111111,20.705,21.83,3.005,892.8347116,1048.760803,0.851323494
28.67684211,49.36157895,53.76789474,52.69083333,0.395,0.204736842,0.145263158,0.064210526,8.158947368,23.14333333,26.61,3.301666667,3553.692152,4090.164554,0.868838431
